1,-64,-65,31.5,33,-64.5,118,125,39,-46,-89,-123
-15,-65,-50,40,17.5,-58.5,128,124,31,-59,-84,-117
-27,-61,-34,44,3.5,-48.5,131,118,20,-68,-81,-110
-31,-53,-22,42,-5.5,-38.5,126,108,9,-70,-82,-103
-25,-40,-15,32.5,-5,-28.5,112,94,-3,-65,-86,-99
-10,-26,-16,18,3,-21,96,79,-17,-56,-89,-97
6,-7,-13,0.5,9.5,-10,81,68,-24,-44,-86,-96
17,11,-6,-14,12.5,3.5,68,59,-24,-32,-78,-93
18,23,5,-20.5,7.5,14,59,53,-23,-23,-64,-88
13,29,16,-21,-1.5,23.5,54,49,-21,-21,-49,-81
1,30,29,-15.5,-14,30.5,54,45,-18,-23,-33,-71
-10,31,41,-10.5,-25.5,36,54,41,-17,-27,-22,-62
-16,34,50,-9,-33,42,49,35,-17,-29,-18,-54
-17,38,55,-10.5,-36,46.5,40,26,-19,-26,-19,-50
-11,45,56,-17,-33.5,50.5,27,15,-22,-19,-25,-49
2,57,55,-29.5,-26.5,56,11,4,-25,-7,-32,-50
18,71,53,-44.5,-17.5,62,-4,-7,-28,4,-34,-51
28,80,52,-54,-12,66,-16,-16,-30,11,-31,-53
30,82,52,-56,-11,67,-21,-21,-31,11,-24,-53
25,79,54,-52,-14.5,67.5,-19,-20,-29,8,-13,-51
13,74,61,-43.5,-24,68.5,-14,-17,-25,2,-3,-46
0,67,67,-33.5,-33.5,67,-8,-16,-23,-5,1,-40
-9,63,72,-27,-40.5,67.5,-5,-17,-24,-11,2,-36
-11,64,75,-26.5,-43,69.5,-7,-20,-26,-12,-2,-34
-4,69,73,-32.5,-38.5,71,-14,-26,-31,-8,-11,-35
8,77,69,-42.5,-30.5,73,-24,-33,-35,-1,-21,-39
21,84,63,-52.5,-21,74.5,-34,-39,-39,6,-26,-44
30,88,58,-59,-14,73,-39,-42,-39,11,-24,-47
31,88,57,-59.5,-13,73.5,-39,-42,-38,12,-18,-48
25,85,60,-55,-17.5,73.5,-34,-38,-36,8,-9,-46
13,80,67,-46.5,-27,74.5,-26,-33,-32,0,0,-42
0,73,73,-36.5,-36.5,73,-19,-28,-28,-6,5,-37
