epoch,loss,lr,val_loss
0,-33834.9765625,0.001,-147586.53125
1,-105226.859375,0.001,-327566.46875
2,-201675.484375,0.001,-587407.625
3,-322188.71875,0.001,-906565.5
4,-467676.75,0.001,-1155952.625
5,-640831.1875,0.001,-1549458.875
6,-839151.9375,0.001,-1945523.5
7,-1069711.25,0.001,-2446689.75
8,-1339463.0,0.001,-3108833.25
9,-1636909.625,0.001,-3713663.5
10,-1967858.5,0.001,-4539240.0
11,-2337250.75,0.001,-5284294.5
12,-2749011.75,0.001,-6122328.0
13,-3181112.25,0.001,-7132091.5
14,-3658017.5,0.001,-8046907.5
15,-4164544.0,0.001,-9110355.0
16,-4704248.5,0.001,-10180436.0
17,-5265224.5,0.001,-11273328.0
18,-5853045.5,0.001,-12148803.0
19,-6473619.5,0.001,-13888072.0
20,-7118666.5,0.001,-15181832.0
21,-7802718.0,0.001,-16686946.0
22,-8504777.0,0.001,-18099316.0
23,-9234976.0,0.001,-19608362.0
24,-9996404.0,0.001,-21171246.0
25,-10761355.0,0.001,-22746866.0
26,-11555498.0,0.001,-24244676.0
27,-12367137.0,0.001,-25985760.0
28,-13208692.0,0.001,-27807492.0
29,-14065769.0,0.001,-28319610.0
30,-14963538.0,0.001,-31078874.0
31,-15853500.0,0.001,-33230318.0
32,-16776195.0,0.001,-35185596.0
33,-17742278.0,0.001,-37246936.0
34,-18721582.0,0.001,-39150504.0
35,-19719362.0,0.001,-41340072.0
36,-20745038.0,0.001,-43448140.0
37,-21788576.0,0.001,-45517940.0
38,-22864818.0,0.001,-47622084.0
39,-23949828.0,0.001,-49843340.0
40,-25058698.0,0.001,-52045120.0
41,-26195670.0,0.001,-54309144.0
42,-27348576.0,0.001,-56728016.0
43,-28498478.0,0.001,-59209552.0
44,-29686976.0,0.001,-61517368.0
45,-30887342.0,0.001,-64092532.0
46,-32112630.0,0.001,-66237488.0
47,-33335098.0,0.001,-68462608.0
48,-34610860.0,0.001,-71546688.0
49,-35875004.0,0.001,-74044040.0
50,-37151048.0,0.001,-76587992.0
51,-38466776.0,0.001,-79546464.0
52,-39784656.0,0.001,-82050848.0
53,-41138104.0,0.001,-83953536.0
54,-42534096.0,0.001,-87689400.0
55,-43895364.0,0.001,-89980392.0
56,-45282240.0,0.001,-93266824.0
57,-46710840.0,0.001,-96321384.0
58,-48150076.0,0.001,-99114656.0
59,-49596124.0,0.001,-102233920.0
60,-51057176.0,0.001,-104870568.0
61,-52537948.0,0.001,-108018256.0
62,-54042460.0,0.001,-110836584.0
63,-55564372.0,0.001,-114649424.0
64,-57113288.0,0.001,-117137016.0
65,-58668060.0,0.001,-120772504.0
66,-60234508.0,0.001,-123768256.0
67,-61815396.0,0.001,-127122968.0
68,-63421268.0,0.001,-130133432.0
69,-65066624.0,0.001,-134061704.0
